cell_id,city_id,city_name_zh,row,column,area_km2,center_lon,center_lat,distance_to_center_km,facility_count,transit_count,healthcare_count,education_count,park_count,service_diversity,facility_density_km2,road_segment_count,road_length_m,road_density_km_km2,intersection_count,elevation_m,terrain_relief_m,source_note,accessibility_proxy,osm_intensity_class,core_zone
beijing_01_01,beijing,北京,1,1,0.4445,116.38115,39.926075,3.306,1,0,1,0,0,1,2.2499,23,940.37,2.1157,1,46,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1417,低,外圈
beijing_01_02,beijing,北京,1,2,0.4445,116.38865,39.926075,2.911,0,0,0,0,0,0,0.0,120,1522.58,3.4257,1,47,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1308,低,内圈
beijing_01_03,beijing,北京,1,3,0.4445,116.39615,39.926075,2.615,0,0,0,0,0,0,0.0,77,2831.82,6.3713,12,52,12,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1717,低,内圈
beijing_01_04,beijing,北京,1,4,0.4445,116.40365,39.926075,2.453,4,3,1,0,0,2,8.9996,115,6076.88,13.6724,24,54,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3999,高,内圈
beijing_01_05,beijing,北京,1,5,0.4445,116.41115,39.926075,2.453,4,3,1,0,0,2,8.9996,82,4020.31,9.0453,19,50,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3511,较高,内圈
beijing_01_06,beijing,北京,1,6,0.4445,116.41865,39.926075,2.615,0,0,0,0,0,0,0.0,69,4676.78,10.5223,22,52,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2154,低,内圈
beijing_01_07,beijing,北京,1,7,0.4445,116.42615,39.926075,2.911,4,4,0,0,0,1,8.9996,115,6825.05,15.3557,32,51,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.402,高,内圈
beijing_01_08,beijing,北京,1,8,0.4445,116.43365,39.926075,3.306,1,0,1,0,0,1,2.2499,73,4106.34,9.2389,12,48,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2167,低,外圈
beijing_02_01,beijing,北京,2,1,0.4445,116.38115,39.919825,2.834,0,0,0,0,0,0,0.0,103,2116.2,4.7608,7,47,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1473,低,内圈
beijing_02_02,beijing,北京,2,2,0.4445,116.38865,39.919825,2.361,0,0,0,0,0,0,0.0,1338,11584.05,26.0606,356,51,14,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3883,较高,内圈
beijing_02_03,beijing,北京,2,3,0.4445,116.39615,39.919825,1.985,0,0,0,0,0,0,0.0,336,6229.78,14.0151,51,54,14,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2766,较低,内圈
beijing_02_04,beijing,北京,2,4,0.4445,116.40365,39.919825,1.767,2,2,0,0,0,1,4.4994,155,6701.8,15.077,29,71,20,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3703,较高,内圈
beijing_02_05,beijing,北京,2,5,0.4445,116.41115,39.919825,1.767,4,3,1,0,0,2,8.9988,74,3819.09,8.5918,13,54,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3747,较高,内圈
beijing_02_06,beijing,北京,2,6,0.4445,116.41865,39.919825,1.985,1,0,0,1,0,1,2.2497,81,5295.13,11.9124,27,56,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2908,较低,内圈
beijing_02_07,beijing,北京,2,7,0.4445,116.42615,39.919825,2.361,4,2,1,0,0,3,8.9988,94,5453.65,12.2691,29,49,15,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3885,较高,内圈
beijing_02_08,beijing,北京,2,8,0.4445,116.43365,39.919825,2.834,0,0,0,0,0,0,0.0,99,5379.63,12.1025,19,61,18,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2247,低,内圈
beijing_03_01,beijing,北京,3,1,0.4445,116.38115,39.913575,2.47,0,0,0,0,0,0,0.0,29,1013.14,2.2791,4,42,12,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1337,低,内圈
beijing_03_02,beijing,北京,3,2,0.4445,116.38865,39.913575,1.909,0,0,0,0,0,0,0.0,1404,14773.75,33.2335,456,55,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4823,高,内圈
beijing_03_03,beijing,北京,3,3,0.4445,116.39615,39.913575,1.417,0,0,0,0,0,0,0.0,187,4082.13,9.1827,41,51,2,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2526,较低,核心
beijing_03_04,beijing,北京,3,4,0.4445,116.40365,39.913575,1.09,2,2,0,0,0,1,4.499,140,7983.91,17.9598,38,56,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4357,高,核心
beijing_03_05,beijing,北京,3,5,0.4445,116.41115,39.913575,1.09,3,3,0,0,0,1,6.7485,117,5975.65,13.4422,27,60,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4245,高,核心
beijing_03_06,beijing,北京,3,6,0.4445,116.41865,39.913575,1.417,0,0,0,0,0,0,0.0,81,6534.05,14.6983,34,51,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3107,较低,核心
beijing_03_07,beijing,北京,3,7,0.4445,116.42615,39.913575,1.909,0,0,0,0,0,0,0.0,112,6445.32,14.4987,33,53,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.285,较低,内圈
beijing_03_08,beijing,北京,3,8,0.4445,116.43365,39.913575,2.47,0,0,0,0,0,0,0.0,74,4275.08,9.6168,12,45,22,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.211,低,内圈
beijing_04_01,beijing,北京,4,1,0.4446,116.38115,39.907325,2.266,2,2,0,0,0,1,4.4986,13,490.72,1.1038,0,46,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2018,低,内圈
beijing_04_02,beijing,北京,4,2,0.4446,116.38865,39.907325,1.637,3,3,0,0,0,1,6.7479,100,2870.42,6.4564,7,50,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.322,较高,内圈
