dataset_id,city_id,provider,source_url,extract_date,spatial_extent,crs,license_or_reuse,metadata_file
beijing_boundary_and_city_statistics,beijing,European Commission Joint Research Centre,https://human-settlement.emergency.copernicus.eu/ghs_ucdb_2024.php,2026-08-24,"39.8792,116.3774,39.9292,116.4374",OGC:CRS84 for vectors; EPSG:4326 for raster,Open and free reuse with source acknowledgement.,beijing/metadata.json
beijing_facilities_and_network,beijing,OpenStreetMap contributors,https://www.openstreetmap.org/copyright,2026-08-24,"39.8792,116.3774,39.9292,116.4374",OGC:CRS84 for vectors; EPSG:4326 for raster,Open Data Commons Open Database License (ODbL) 1.0,beijing/metadata.json
beijing_elevation,beijing,Terrain Tiles on AWS / Mapzen; source elevation in this area is NASA SRTM,https://s3.amazonaws.com/elevation-tiles-prod/skadi/N39/N39E116.hgt.gz,2026-08-24,"39.8792,116.3774,39.9292,116.4374",OGC:CRS84 for vectors; EPSG:4326 for raster,See source attribution,beijing/metadata.json
shanghai_boundary_and_city_statistics,shanghai,European Commission Joint Research Centre,https://human-settlement.emergency.copernicus.eu/ghs_ucdb_2024.php,2026-08-24,"31.2054,121.4437,31.2554,121.5037",OGC:CRS84 for vectors; EPSG:4326 for raster,Open and free reuse with source acknowledgement.,shanghai/metadata.json
shanghai_facilities_and_network,shanghai,OpenStreetMap contributors,https://www.openstreetmap.org/copyright,2026-08-24,"31.2054,121.4437,31.2554,121.5037",OGC:CRS84 for vectors; EPSG:4326 for raster,Open Data Commons Open Database License (ODbL) 1.0,shanghai/metadata.json
shanghai_elevation,shanghai,Terrain Tiles on AWS / Mapzen; source elevation in this area is NASA SRTM,https://s3.amazonaws.com/elevation-tiles-prod/skadi/N31/N31E121.hgt.gz,2026-08-24,"31.2054,121.4437,31.2554,121.5037",OGC:CRS84 for vectors; EPSG:4326 for raster,See source attribution,shanghai/metadata.json
nanjing_boundary_and_city_statistics,nanjing,European Commission Joint Research Centre,https://human-settlement.emergency.copernicus.eu/ghs_ucdb_2024.php,2026-08-24,"32.0353,118.7669,32.0853,118.8269",OGC:CRS84 for vectors; EPSG:4326 for raster,Open and free reuse with source acknowledgement.,nanjing/metadata.json
nanjing_facilities_and_network,nanjing,OpenStreetMap contributors,https://www.openstreetmap.org/copyright,2026-08-24,"32.0353,118.7669,32.0853,118.8269",OGC:CRS84 for vectors; EPSG:4326 for raster,Open Data Commons Open Database License (ODbL) 1.0,nanjing/metadata.json
nanjing_elevation,nanjing,Terrain Tiles on AWS / Mapzen; source elevation in this area is NASA SRTM,https://s3.amazonaws.com/elevation-tiles-prod/skadi/N32/N32E118.hgt.gz,2026-08-24,"32.0353,118.7669,32.0853,118.8269",OGC:CRS84 for vectors; EPSG:4326 for raster,See source attribution,nanjing/metadata.json
guangzhou_boundary_and_city_statistics,guangzhou,European Commission Joint Research Centre,https://human-settlement.emergency.copernicus.eu/ghs_ucdb_2024.php,2026-08-24,"23.1041,113.2344,23.1541,113.2944",OGC:CRS84 for vectors; EPSG:4326 for raster,Open and free reuse with source acknowledgement.,guangzhou/metadata.json
guangzhou_facilities_and_network,guangzhou,OpenStreetMap contributors,https://www.openstreetmap.org/copyright,2026-08-24,"23.1041,113.2344,23.1541,113.2944",OGC:CRS84 for vectors; EPSG:4326 for raster,Open Data Commons Open Database License (ODbL) 1.0,guangzhou/metadata.json
guangzhou_elevation,guangzhou,Terrain Tiles on AWS / Mapzen; source elevation in this area is NASA SRTM,https://s3.amazonaws.com/elevation-tiles-prod/skadi/N23/N23E113.hgt.gz,2026-08-24,"23.1041,113.2344,23.1541,113.2944",OGC:CRS84 for vectors; EPSG:4326 for raster,See source attribution,guangzhou/metadata.json
chengdu_boundary_and_city_statistics,chengdu,European Commission Joint Research Centre,https://human-settlement.emergency.copernicus.eu/ghs_ucdb_2024.php,2026-08-24,"30.5478,104.0368,30.5978,104.0968",OGC:CRS84 for vectors; EPSG:4326 for raster,Open and free reuse with source acknowledgement.,chengdu/metadata.json
chengdu_facilities_and_network,chengdu,OpenStreetMap contributors,https://www.openstreetmap.org/copyright,2026-08-24,"30.5478,104.0368,30.5978,104.0968",OGC:CRS84 for vectors; EPSG:4326 for raster,Open Data Commons Open Database License (ODbL) 1.0,chengdu/metadata.json
chengdu_elevation,chengdu,Terrain Tiles on AWS / Mapzen; source elevation in this area is NASA SRTM,https://s3.amazonaws.com/elevation-tiles-prod/skadi/N30/N30E104.hgt.gz,2026-08-24,"30.5478,104.0368,30.5978,104.0968",OGC:CRS84 for vectors; EPSG:4326 for raster,See source attribution,chengdu/metadata.json
wuhan_boundary_and_city_statistics,wuhan,European Commission Joint Research Centre,https://human-settlement.emergency.copernicus.eu/ghs_ucdb_2024.php,2026-08-24,"30.5678,114.2755,30.6178,114.3355",OGC:CRS84 for vectors; EPSG:4326 for raster,Open and free reuse with source acknowledgement.,wuhan/metadata.json
wuhan_facilities_and_network,wuhan,OpenStreetMap contributors,https://www.openstreetmap.org/copyright,2026-08-24,"30.5678,114.2755,30.6178,114.3355",OGC:CRS84 for vectors; EPSG:4326 for raster,Open Data Commons Open Database License (ODbL) 1.0,wuhan/metadata.json
