cell_id,city_id,city_name_zh,row,column,area_km2,center_lon,center_lat,distance_to_center_km,facility_count,transit_count,healthcare_count,education_count,park_count,service_diversity,facility_density_km2,road_segment_count,road_length_m,road_density_km_km2,intersection_count,elevation_m,terrain_relief_m,source_note,accessibility_proxy,osm_intensity_class,core_zone
guangzhou_01_01,guangzhou,广州,1,1,0.5329,113.23815,23.150975,3.622,0,0,0,0,0,0,0.0,189,4789.27,8.9871,19,20,23,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2455,低,外圈
guangzhou_01_02,guangzhou,广州,1,2,0.5329,113.24565,23.150975,3.097,7,6,1,0,0,2,13.1355,250,6772.67,12.7089,20,12,22,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5305,高,外圈
guangzhou_01_03,guangzhou,广州,1,3,0.5329,113.25315,23.150975,2.691,8,8,0,0,0,1,15.012,180,4165.94,7.8174,11,5,13,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4791,较高,内圈
guangzhou_01_04,guangzhou,广州,1,4,0.5329,113.26065,23.150975,2.462,0,0,0,0,0,0,0.0,136,4022.2,7.5477,12,10,42,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2534,低,内圈
guangzhou_01_05,guangzhou,广州,1,5,0.5329,113.26815,23.150975,2.462,0,0,0,0,0,0,0.0,142,2735.36,5.1329,6,24,20,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2075,低,内圈
guangzhou_01_06,guangzhou,广州,1,6,0.5329,113.27565,23.150975,2.691,0,0,0,0,0,0,0.0,165,3928.44,7.3717,13,14,28,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.242,低,内圈
guangzhou_01_07,guangzhou,广州,1,7,0.5329,113.28315,23.150975,3.097,1,0,0,1,0,1,1.8765,115,2895.76,5.4339,6,28,34,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2208,低,外圈
guangzhou_01_08,guangzhou,广州,1,8,0.5329,113.29065,23.150975,3.622,0,0,0,0,0,0,0.0,195,4661.18,8.7467,17,46,19,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2409,低,外圈
guangzhou_02_01,guangzhou,广州,2,1,0.5329,113.23815,23.144725,3.197,7,7,0,0,0,1,13.1349,221,5645.84,10.5939,20,18,15,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4874,较高,外圈
guangzhou_02_02,guangzhou,广州,2,2,0.5329,113.24565,23.144725,2.587,0,0,0,0,0,0,0.0,190,6991.6,13.1191,29,22,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3548,较低,内圈
guangzhou_02_03,guangzhou,广州,2,3,0.5329,113.25315,23.144725,2.084,10,10,0,0,0,1,18.7641,166,4605.27,8.6414,13,6,13,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5747,高,内圈
guangzhou_02_04,guangzhou,广州,2,4,0.5329,113.26065,23.144725,1.779,0,0,0,0,0,0,0.0,135,2996.94,5.6235,5,39,42,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.245,低,内圈
guangzhou_02_05,guangzhou,广州,2,5,0.5329,113.26815,23.144725,1.779,4,3,1,0,0,2,7.5057,206,3813.98,7.1566,6,20,24,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3884,较低,内圈
guangzhou_02_06,guangzhou,广州,2,6,0.5329,113.27565,23.144725,2.084,2,2,0,0,0,1,3.7528,420,7581.74,14.2265,35,17,21,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4522,较高,内圈
guangzhou_02_07,guangzhou,广州,2,7,0.5329,113.28315,23.144725,2.587,1,0,1,0,0,1,1.8764,286,8384.67,15.7331,39,28,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.433,较高,内圈
guangzhou_02_08,guangzhou,广州,2,8,0.5329,113.29065,23.144725,3.197,2,2,0,0,0,1,3.7528,243,5802.02,10.887,9,35,18,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3501,较低,外圈
guangzhou_03_01,guangzhou,广州,3,1,0.533,113.23815,23.138475,2.879,7,7,0,0,0,1,13.1343,217,6527.78,12.2482,18,16,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5284,高,内圈
guangzhou_03_02,guangzhou,广州,3,2,0.533,113.24565,23.138475,2.182,0,0,0,0,0,0,0.0,157,3676.5,6.8983,6,4,21,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2518,低,内圈
guangzhou_03_03,guangzhou,广州,3,3,0.533,113.25315,23.138475,1.552,5,1,3,1,0,3,9.3816,277,5922.14,11.1119,16,4,21,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.503,较高,内圈
guangzhou_03_04,guangzhou,广州,3,4,0.533,113.26065,23.138475,1.111,1,1,0,0,0,1,1.8763,199,4629.53,8.6865,11,37,29,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3662,较低,核心
guangzhou_03_05,guangzhou,广州,3,5,0.533,113.26815,23.138475,1.111,1,0,0,1,0,1,1.8763,162,3927.99,7.3702,12,18,20,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3412,较低,核心
guangzhou_03_06,guangzhou,广州,3,6,0.533,113.27565,23.138475,1.552,0,0,0,0,0,0,0.0,108,5142.12,9.6483,25,20,18,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3323,较低,内圈
guangzhou_03_07,guangzhou,广州,3,7,0.533,113.28315,23.138475,2.182,7,3,3,1,0,3,13.1343,454,8955.91,16.8042,55,22,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.64,高,内圈
guangzhou_03_08,guangzhou,广州,3,8,0.533,113.29065,23.138475,2.879,7,5,2,0,0,2,13.1343,429,9819.55,18.4247,67,29,35,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.6458,高,内圈
guangzhou_04_01,guangzhou,广州,4,1,0.533,113.23815,23.132225,2.707,3,2,1,0,0,2,5.6287,104,3856.69,7.2361,10,26,21,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3246,较低,内圈
guangzhou_04_02,guangzhou,广州,4,2,0.533,113.24565,23.132225,1.949,1,0,1,0,0,1,1.8762,240,6340.95,11.8971,20,30,25,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3851,较低,内圈
guangzhou_04_03,guangzhou,广州,4,3,0.533,113.25315,23.132225,1.202,4,0,3,1,0,2,7.505,339,7077.84,13.2797,18,17,15,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.534,高,核心
guangzhou_04_04,guangzhou,广州,4,4,0.533,113.26065,23.132225,0.517,4,3,0,1,0,2,7.505,270,5825.2,10.9295,23,17,26,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5323,高,核心
guangzhou_04_05,guangzhou,广州,4,5,0.533,113.26815,23.132225,0.517,5,3,0,2,0,2,9.3812,303,6192.62,11.6188,17,19,22,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.574,高,核心
guangzhou_04_06,guangzhou,广州,4,6,0.533,113.27565,23.132225,1.202,2,0,1,1,0,2,3.7525,250,5942.92,11.1503,18,13,14,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4364,较高,核心
guangzhou_04_07,guangzhou,广州,4,7,0.533,113.28315,23.132225,1.949,3,3,0,0,0,1,5.6287,202,4445.8,8.3414,14,18,25,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3747,较低,内圈
guangzhou_04_08,guangzhou,广州,4,8,0.533,113.29065,23.132225,2.707,6,2,3,1,0,3,11.2574,225,6402.83,12.0132,28,28,37,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.501,较高,内圈
guangzhou_05_01,guangzhou,广州,5,1,0.533,113.23815,23.125975,2.707,8,6,1,1,0,3,15.0092,224,5297.35,9.9386,16,9,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5188,较高,内圈
guangzhou_05_02,guangzhou,广州,5,2,0.533,113.24565,23.125975,1.949,1,0,0,1,0,1,1.8762,219,6445.86,12.0934,19,13,31,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3889,较低,内圈
guangzhou_05_03,guangzhou,广州,5,3,0.533,113.25315,23.125975,1.202,5,5,0,0,0,1,9.3808,130,5194.57,9.7458,16,22,26,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4955,较高,核心
guangzhou_05_04,guangzhou,广州,5,4,0.533,113.26065,23.125975,0.517,14,14,0,0,0,1,26.2661,301,7477.71,14.0293,31,17,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.8769,高,核心
guangzhou_05_05,guangzhou,广州,5,5,0.533,113.26815,23.125975,0.517,8,1,2,2,0,5,15.0092,296,5878.22,11.0284,20,19,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.6485,高,核心
guangzhou_05_06,guangzhou,广州,5,6,0.533,113.27565,23.125975,1.202,2,1,0,1,0,2,3.7523,215,4531.3,8.5014,10,17,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3861,较低,核心
guangzhou_05_07,guangzhou,广州,5,7,0.533,113.28315,23.125975,1.949,7,3,2,2,0,3,13.1331,314,8177.42,15.3421,31,25,25,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.622,高,内圈
guangzhou_05_08,guangzhou,广州,5,8,0.533,113.29065,23.125975,2.707,12,8,1,2,0,4,22.5138,334,8418.4,15.7942,42,22,25,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.7443,高,内圈
guangzhou_06_01,guangzhou,广州,6,1,0.533,113.23815,23.119725,2.88,10,9,1,0,0,2,18.7606,158,3543.26,6.6474,9,33,25,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5077,较高,内圈
guangzhou_06_02,guangzhou,广州,6,2,0.533,113.24565,23.119725,2.182,2,1,1,0,0,2,3.7521,322,7544.28,14.1536,20,15,28,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4468,较高,内圈
guangzhou_06_03,guangzhou,广州,6,3,0.533,113.25315,23.119725,1.552,1,0,1,0,0,1,1.8761,109,3764.48,7.0624,8,15,30,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3118,较低,内圈
guangzhou_06_04,guangzhou,广州,6,4,0.533,113.26065,23.119725,1.111,8,7,1,0,0,2,15.0085,382,6786.28,12.7315,23,17,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.643,高,核心
guangzhou_06_05,guangzhou,广州,6,5,0.533,113.26815,23.119725,1.111,4,3,0,1,0,2,7.5043,194,5565.52,10.4413,20,18,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4853,较高,核心
guangzhou_06_06,guangzhou,广州,6,6,0.533,113.27565,23.119725,1.552,4,3,1,0,0,2,7.5043,328,7668.36,14.3863,33,19,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5366,高,内圈
guangzhou_06_07,guangzhou,广州,6,7,0.533,113.28315,23.119725,2.182,8,6,0,2,0,2,15.0085,245,5996.21,11.2493,28,16,19,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5631,高,内圈
guangzhou_06_08,guangzhou,广州,6,8,0.533,113.29065,23.119725,2.88,0,0,0,0,0,0,0.0,202,5603.91,10.5133,36,15,25,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2954,低,内圈
guangzhou_07_01,guangzhou,广州,7,1,0.5331,113.23815,23.113475,3.198,5,5,0,0,0,1,9.3799,251,7685.14,14.4171,32,11,20,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5028,较高,外圈
guangzhou_07_02,guangzhou,广州,7,2,0.5331,113.24565,23.113475,2.588,6,5,1,0,0,2,11.2559,444,9765.8,18.3204,35,16,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.6249,高,内圈
guangzhou_07_03,guangzhou,广州,7,3,0.5331,113.25315,23.113475,2.084,5,3,1,0,0,3,9.3799,174,5329.3,9.9976,21,14,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4576,较高,内圈
guangzhou_07_04,guangzhou,广州,7,4,0.5331,113.26065,23.113475,1.779,2,2,0,0,0,1,3.752,268,6622.59,12.4238,20,12,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4313,较低,内圈
guangzhou_07_05,guangzhou,广州,7,5,0.5331,113.26815,23.113475,1.779,0,0,0,0,0,0,0.0,148,4295.37,8.058,9,3,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2912,低,内圈
guangzhou_07_06,guangzhou,广州,7,6,0.5331,113.27565,23.113475,2.084,0,0,0,0,0,0,0.0,172,4440.7,8.3307,18,3,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2831,低,内圈
guangzhou_07_07,guangzhou,广州,7,7,0.5331,113.28315,23.113475,2.588,0,0,0,0,0,0,0.0,108,2468.76,4.6313,2,1,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1935,低,内圈
guangzhou_07_08,guangzhou,广州,7,8,0.5331,113.29065,23.113475,3.198,0,0,0,0,0,0,0.0,56,2186.09,4.1011,5,4,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.164,低,外圈
guangzhou_08_01,guangzhou,广州,8,1,0.5331,113.23815,23.107225,3.623,1,0,0,1,0,1,1.8759,100,3992.59,7.4897,17,1,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2456,低,外圈
guangzhou_08_02,guangzhou,广州,8,2,0.5331,113.24565,23.107225,3.097,4,3,0,1,0,2,7.5036,303,6775.51,12.7101,25,19,18,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4448,较高,外圈
guangzhou_08_03,guangzhou,广州,8,3,0.5331,113.25315,23.107225,2.691,3,0,1,2,0,2,5.6277,212,5509.64,10.3355,21,4,13,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.384,较低,内圈
guangzhou_08_04,guangzhou,广州,8,4,0.5331,113.26065,23.107225,2.462,2,1,0,1,0,2,3.7518,110,3501.28,6.568,16,9,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2919,低,内圈
guangzhou_08_05,guangzhou,广州,8,5,0.5331,113.26815,23.107225,2.462,4,4,0,0,0,1,7.5036,293,8080.56,15.1582,49,16,13,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5123,较高,内圈
guangzhou_08_06,guangzhou,广州,8,6,0.5331,113.27565,23.107225,2.691,0,0,0,0,0,0,0.0,158,5734.11,10.7566,17,10,23,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3063,较低,内圈
guangzhou_08_07,guangzhou,广州,8,7,0.5331,113.28315,23.107225,3.097,3,3,0,0,0,1,5.6277,189,5255.2,9.8582,22,15,35,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.362,较低,外圈
guangzhou_08_08,guangzhou,广州,8,8,0.5331,113.29065,23.107225,3.623,0,0,0,0,0,0,0.0,94,2999.96,5.6276,9,2,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1816,低,外圈
