cell_id,city_id,city_name_zh,row,column,area_km2,center_lon,center_lat,distance_to_center_km,facility_count,transit_count,healthcare_count,education_count,park_count,service_diversity,facility_density_km2,road_segment_count,road_length_m,road_density_km_km2,intersection_count,elevation_m,terrain_relief_m,source_note,accessibility_proxy,osm_intensity_class,core_zone
hangzhou_01_01,hangzhou,杭州,1,1,0.5004,120.12885,30.295975,3.503,0,0,0,0,0,0,0.0,156,6457.47,12.9039,24,13,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2952,较低,外圈
hangzhou_01_02,hangzhou,杭州,1,2,0.5004,120.13635,30.295975,3.026,0,0,0,0,0,0,0.0,173,7260.16,14.508,16,8,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3357,较低,外圈
hangzhou_01_03,hangzhou,杭州,1,3,0.5004,120.14385,30.295975,2.661,0,0,0,0,0,0,0.0,131,4999.99,9.9915,17,19,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2713,低,内圈
hangzhou_01_04,hangzhou,杭州,1,4,0.5004,120.15135,30.295975,2.459,2,2,0,0,0,1,3.9966,79,3952.5,7.8983,6,10,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2903,较低,内圈
hangzhou_01_05,hangzhou,杭州,1,5,0.5004,120.15885,30.295975,2.459,3,0,0,3,0,1,5.9949,178,6583.68,13.1561,33,14,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4024,较高,内圈
hangzhou_01_06,hangzhou,杭州,1,6,0.5004,120.16635,30.295975,2.661,4,1,0,3,0,2,7.9932,130,6143.74,12.277,29,11,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.404,较高,内圈
hangzhou_01_07,hangzhou,杭州,1,7,0.5004,120.17385,30.295975,3.026,4,4,0,0,0,1,7.9932,90,4396.1,8.7847,14,18,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3334,较低,外圈
hangzhou_01_08,hangzhou,杭州,1,8,0.5004,120.18135,30.295975,3.503,0,0,0,0,0,0,0.0,189,7996.92,15.9802,61,11,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3471,较低,外圈
hangzhou_02_01,hangzhou,杭州,2,1,0.5005,120.12885,30.289725,3.061,0,0,0,0,0,0,0.0,60,4509.99,9.0117,15,14,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.242,低,外圈
hangzhou_02_02,hangzhou,杭州,2,2,0.5005,120.13635,30.289725,2.502,0,0,0,0,0,0,0.0,115,5021.81,10.0344,17,7,15,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2777,低,内圈
