cell_id,city_id,city_name_zh,row,column,area_km2,center_lon,center_lat,distance_to_center_km,facility_count,transit_count,healthcare_count,education_count,park_count,service_diversity,facility_density_km2,road_segment_count,road_length_m,road_density_km_km2,intersection_count,elevation_m,terrain_relief_m,source_note,accessibility_proxy,osm_intensity_class,core_zone
nanjing_01_01,nanjing,南京,1,1,0.4911,118.77065,32.082175,3.469,1,0,1,0,0,1,2.0364,53,3879.37,7.8998,9,14,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2569,较低,外圈
nanjing_01_02,nanjing,南京,1,2,0.4911,118.77815,32.082175,3.006,5,5,0,0,0,1,10.1819,53,4316.58,8.7902,13,14,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.372,较高,外圈
nanjing_01_03,nanjing,南京,1,3,0.4911,118.78565,32.082175,2.653,0,0,0,0,0,0,0.0,0,0.0,0.0,0,8,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1032,低,内圈
nanjing_01_04,nanjing,南京,1,4,0.4911,118.79315,32.082175,2.458,0,0,0,0,0,0,0.0,36,1402.82,2.8567,1,8,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.167,低,内圈
nanjing_01_05,nanjing,南京,1,5,0.4911,118.80065,32.082175,2.458,0,0,0,0,0,0,0.0,72,4058.88,8.2654,6,12,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2747,较高,内圈
nanjing_01_06,nanjing,南京,1,6,0.4911,118.80815,32.082175,2.653,10,1,0,9,0,2,20.3637,60,1506.67,3.0681,0,14,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3749,较高,内圈
nanjing_01_07,nanjing,南京,1,7,0.4911,118.81565,32.082175,3.006,2,0,0,2,0,1,4.0727,23,1144.34,2.3303,2,32,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1803,较低,外圈
nanjing_01_08,nanjing,南京,1,8,0.4911,118.82315,32.082175,3.469,5,3,1,1,0,3,10.1819,100,3996.08,8.1375,16,36,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3459,较高,外圈
nanjing_02_01,nanjing,南京,2,1,0.4911,118.77065,32.075925,3.023,1,0,1,0,0,1,2.0362,27,2422.89,4.9336,4,12,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2105,较低,外圈
nanjing_02_02,nanjing,南京,2,2,0.4911,118.77815,32.075925,2.478,2,2,0,0,0,1,4.0725,50,3774.92,7.6866,3,11,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3045,较高,内圈
nanjing_02_03,nanjing,南京,2,3,0.4911,118.78565,32.075925,2.035,1,0,0,0,1,1,2.0362,16,655.51,1.3348,0,9,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1745,低,内圈
nanjing_02_04,nanjing,南京,2,4,0.4911,118.79315,32.075925,1.773,0,0,0,0,0,0,0.0,0,0.0,0.0,0,8,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1384,低,内圈
nanjing_02_05,nanjing,南京,2,5,0.4911,118.80065,32.075925,1.773,0,0,0,0,0,0,0.0,20,285.6,0.5815,0,11,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.15,低,内圈
nanjing_02_06,nanjing,南京,2,6,0.4911,118.80815,32.075925,2.035,11,3,1,7,0,3,22.3986,62,3845.2,7.8297,6,13,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5143,高,内圈
nanjing_02_07,nanjing,南京,2,7,0.4911,118.81565,32.075925,2.478,1,0,0,1,0,1,2.0362,17,1039.75,2.1172,2,27,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1726,低,内圈
nanjing_02_08,nanjing,南京,2,8,0.4911,118.82315,32.075925,3.023,0,0,0,0,0,0,0.0,35,1730.52,3.5237,2,36,60,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1614,低,外圈
nanjing_03_01,nanjing,南京,3,1,0.4911,118.77065,32.069675,2.684,1,1,0,0,0,1,2.0361,68,5076.6,10.3364,18,17,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.329,较高,内圈
nanjing_03_02,nanjing,南京,3,2,0.4911,118.77815,32.069675,2.051,5,4,1,0,0,2,10.1805,79,5320.9,10.8338,21,12,13,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4471,高,内圈
nanjing_03_03,nanjing,南京,3,3,0.4911,118.78565,32.069675,1.487,0,0,0,0,0,0,0.0,23,1220.4,2.4848,3,9,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2017,较低,核心
nanjing_03_04,nanjing,南京,3,4,0.4911,118.79315,32.069675,1.101,0,0,0,0,0,0,0.0,0,0.0,0.0,0,9,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1732,低,核心
nanjing_03_05,nanjing,南京,3,5,0.4911,118.80065,32.069675,1.101,0,0,0,0,0,0,0.0,0,0.0,0.0,0,8,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1732,低,核心
nanjing_03_06,nanjing,南京,3,6,0.4911,118.80815,32.069675,1.487,5,4,0,0,1,2,10.1805,38,3014.17,6.1371,4,11,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3797,较高,核心
nanjing_03_07,nanjing,南京,3,7,0.4911,118.81565,32.069675,2.051,0,0,0,0,0,0,0.0,58,1960.25,3.9913,2,27,97,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2056,较低,内圈
nanjing_03_08,nanjing,南京,3,8,0.4911,118.82315,32.069675,2.684,0,0,0,0,0,0,0.0,8,317.89,0.6473,0,143,206,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1151,低,内圈
nanjing_04_01,nanjing,南京,4,1,0.4912,118.77065,32.063425,2.498,7,7,0,0,0,1,14.2517,68,5835.47,11.8807,18,19,18,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4926,高,内圈
nanjing_04_02,nanjing,南京,4,2,0.4912,118.77815,32.063425,1.801,8,7,0,0,0,2,16.2876,163,8014.0,16.3161,32,25,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.6303,高,内圈
nanjing_04_03,nanjing,南京,4,3,0.4912,118.78565,32.063425,1.116,0,0,0,0,0,0,0.0,61,1997.83,4.0675,3,35,25,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2533,较低,核心
nanjing_04_04,nanjing,南京,4,4,0.4912,118.79315,32.063425,0.496,0,0,0,0,0,0,0.0,34,1109.81,2.2595,6,16,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2569,较低,核心
nanjing_04_05,nanjing,南京,4,5,0.4912,118.80065,32.063425,0.496,1,0,0,1,0,1,2.036,1,175.55,0.3574,0,42,34,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2401,较低,核心
nanjing_04_06,nanjing,南京,4,6,0.4912,118.80815,32.063425,1.116,2,2,0,0,0,1,4.0719,57,3287.25,6.6927,5,10,36,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3476,较高,核心
nanjing_04_07,nanjing,南京,4,7,0.4912,118.81565,32.063425,1.801,0,0,0,0,0,0,0.0,57,2394.7,4.8755,1,42,97,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2342,较低,内圈
nanjing_04_08,nanjing,南京,4,8,0.4912,118.82315,32.063425,2.498,0,0,0,0,0,0,0.0,0,0.0,0.0,0,105,185,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1087,低,内圈
nanjing_05_01,nanjing,南京,5,1,0.4912,118.77065,32.057175,2.498,2,0,0,2,0,1,4.0716,60,3220.75,6.5568,12,27,14,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2813,较高,内圈
nanjing_05_02,nanjing,南京,5,2,0.4912,118.77815,32.057175,1.801,3,2,0,0,0,2,6.1074,94,5245.98,10.6798,13,17,22,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4129,较高,内圈
nanjing_05_03,nanjing,南京,5,3,0.4912,118.78565,32.057175,1.116,0,0,0,0,0,0,0.0,56,4556.81,9.2768,22,12,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.357,较高,核心
nanjing_05_04,nanjing,南京,5,4,0.4912,118.79315,32.057175,0.496,9,6,0,2,0,3,18.3223,74,4529.25,9.2207,17,11,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5849,高,核心
nanjing_05_05,nanjing,南京,5,5,0.4912,118.80065,32.057175,0.496,5,3,0,2,0,2,10.1791,45,2798.81,5.6979,9,11,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4306,高,核心
nanjing_05_06,nanjing,南京,5,6,0.4912,118.80815,32.057175,1.116,1,0,0,1,0,1,2.0358,42,1768.84,3.601,2,12,33,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2651,较低,核心
nanjing_05_07,nanjing,南京,5,7,0.4912,118.81565,32.057175,1.801,0,0,0,0,0,0,0.0,49,2662.72,5.4208,3,31,61,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.245,较低,内圈
nanjing_05_08,nanjing,南京,5,8,0.4912,118.82315,32.057175,2.498,0,0,0,0,0,0,0.0,13,759.35,1.5459,0,46,47,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1395,低,内圈
nanjing_06_01,nanjing,南京,6,1,0.4912,118.77065,32.050925,2.685,2,1,1,0,0,2,4.0714,57,3148.07,6.4084,7,37,23,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2718,较高,内圈
nanjing_06_02,nanjing,南京,6,2,0.4912,118.77815,32.050925,2.052,5,4,0,1,0,2,10.1784,96,5730.57,11.6656,24,13,12,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4636,高,内圈
nanjing_06_03,nanjing,南京,6,3,0.4912,118.78565,32.050925,1.487,1,0,0,1,0,1,2.0357,78,6515.44,13.2633,32,17,13,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4373,高,核心
nanjing_06_04,nanjing,南京,6,4,0.4912,118.79315,32.050925,1.101,6,5,0,1,0,2,12.2141,97,5614.16,11.4286,27,17,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.527,高,核心
nanjing_06_05,nanjing,南京,6,5,0.4912,118.80065,32.050925,1.101,1,0,0,0,0,1,2.0357,40,2844.94,5.7914,3,11,2,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3095,较高,核心
nanjing_06_06,nanjing,南京,6,6,0.4912,118.80815,32.050925,1.487,0,0,0,0,0,0,0.0,10,520.11,1.0588,1,15,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1734,低,核心
nanjing_06_07,nanjing,南京,6,7,0.4912,118.81565,32.050925,2.052,0,0,0,0,0,0,0.0,63,2680.61,5.4569,8,8,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2347,较低,内圈
nanjing_06_08,nanjing,南京,6,8,0.4912,118.82315,32.050925,2.685,0,0,0,0,0,0,0.0,5,1292.61,2.6313,0,21,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1545,低,内圈
nanjing_07_01,nanjing,南京,7,1,0.4913,118.77065,32.044675,3.023,6,4,2,0,0,2,12.2132,47,3497.09,7.1185,12,23,15,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3593,较高,外圈
nanjing_07_02,nanjing,南京,7,2,0.4913,118.77815,32.044675,2.478,19,19,0,0,0,1,38.6752,400,8262.7,16.819,31,15,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.8442,高,内圈
nanjing_07_03,nanjing,南京,7,3,0.4913,118.78565,32.044675,2.035,3,2,0,1,0,2,6.1066,87,5808.4,11.8232,19,13,22,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4253,高,内圈
nanjing_07_04,nanjing,南京,7,4,0.4913,118.79315,32.044675,1.773,5,5,0,0,0,1,10.1777,139,6318.22,12.861,19,11,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4997,高,内圈
nanjing_07_05,nanjing,南京,7,5,0.4913,118.80065,32.044675,1.773,6,5,0,1,0,2,12.2132,110,5600.4,11.3998,24,15,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4916,高,内圈
