cell_id,city_id,city_name_zh,row,column,area_km2,center_lon,center_lat,distance_to_center_km,facility_count,transit_count,healthcare_count,education_count,park_count,service_diversity,facility_density_km2,road_segment_count,road_length_m,road_density_km_km2,intersection_count,elevation_m,terrain_relief_m,source_note,accessibility_proxy,osm_intensity_class,core_zone
shanghai_01_01,shanghai,上海,1,1,0.4955,121.44745,31.252275,3.485,3,3,0,0,0,1,6.0548,203,7334.03,14.802,27,5,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3377,较低,外圈
shanghai_01_02,shanghai,上海,1,2,0.4955,121.45495,31.252275,3.016,7,7,0,0,0,1,14.1278,219,7231.14,14.5943,22,12,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4324,较高,外圈
shanghai_01_03,shanghai,上海,1,3,0.4955,121.46245,31.252275,2.657,4,4,0,0,0,1,8.073,178,8111.16,16.3704,31,12,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4044,较低,内圈
shanghai_01_04,shanghai,上海,1,4,0.4955,121.46995,31.252275,2.458,3,3,0,0,0,1,6.0548,157,5293.72,10.6841,16,7,2,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.315,较低,内圈
shanghai_01_05,shanghai,上海,1,5,0.4955,121.47745,31.252275,2.458,5,5,0,0,0,1,10.0913,376,8457.56,17.0695,73,6,2,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4418,较高,内圈
shanghai_01_06,shanghai,上海,1,6,0.4955,121.48495,31.252275,2.657,2,0,0,2,0,1,4.0365,350,9742.42,19.6627,43,25,18,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.406,较高,内圈
shanghai_01_07,shanghai,上海,1,7,0.4955,121.49245,31.252275,3.016,5,5,0,0,0,1,10.0913,354,9640.26,19.4565,48,10,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4548,较高,外圈
shanghai_01_08,shanghai,上海,1,8,0.4955,121.49995,31.252275,3.485,2,2,0,0,0,1,4.0365,105,4728.49,9.5433,16,13,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2469,低,外圈
shanghai_02_01,shanghai,上海,2,1,0.4955,121.44745,31.246025,3.041,1,1,0,0,0,1,2.0181,184,8290.41,16.7311,40,11,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3336,较低,外圈
shanghai_02_02,shanghai,上海,2,2,0.4955,121.45495,31.246025,2.489,6,6,0,0,0,1,12.1087,350,9925.2,20.0303,48,7,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.501,高,内圈
shanghai_02_03,shanghai,上海,2,3,0.4955,121.46245,31.246025,2.04,0,0,0,0,0,0,0.0,302,7647.61,15.4338,39,14,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3313,较低,内圈
shanghai_02_04,shanghai,上海,2,4,0.4955,121.46995,31.246025,1.774,7,7,0,0,0,1,14.1269,280,8174.73,16.4976,38,14,15,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5046,高,内圈
shanghai_02_05,shanghai,上海,2,5,0.4955,121.47745,31.246025,1.774,10,9,0,1,0,2,20.1812,307,8286.08,16.7223,35,6,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5707,高,内圈
shanghai_02_06,shanghai,上海,2,6,0.4955,121.48495,31.246025,2.04,2,0,0,2,0,1,4.0362,435,9433.97,19.0389,40,9,12,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4212,较高,内圈
shanghai_02_07,shanghai,上海,2,7,0.4955,121.49245,31.246025,2.489,0,0,0,0,0,0,0.0,85,2262.99,4.567,6,2,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1696,低,内圈
shanghai_02_08,shanghai,上海,2,8,0.4955,121.49995,31.246025,3.041,0,0,0,0,0,0,0.0,170,6370.64,12.8567,8,-2,14,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2612,低,外圈
shanghai_03_01,shanghai,上海,3,1,0.4955,121.44745,31.239775,2.705,1,0,0,1,0,1,2.018,137,6492.82,13.1025,22,1,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2963,低,内圈
shanghai_03_02,shanghai,上海,3,2,0.4955,121.45495,31.239775,2.065,12,12,0,0,0,1,24.2159,268,9081.76,18.3269,42,10,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.6213,高,内圈
shanghai_03_03,shanghai,上海,3,3,0.4955,121.46245,31.239775,1.494,4,4,0,0,0,1,8.072,245,8706.47,17.5696,45,9,15,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4691,较高,核心
