cell_id,city_id,city_name_zh,row,column,area_km2,center_lon,center_lat,distance_to_center_km,facility_count,transit_count,healthcare_count,education_count,park_count,service_diversity,facility_density_km2,road_segment_count,road_length_m,road_density_km_km2,intersection_count,elevation_m,terrain_relief_m,source_note,accessibility_proxy,osm_intensity_class,core_zone
wuhan_01_01,wuhan,武汉,1,1,0.4988,114.27925,30.614675,3.497,0,0,0,0,0,0,0.0,60,4636.52,9.2955,13,28,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2098,较低,外圈
wuhan_01_02,wuhan,武汉,1,2,0.4988,114.28675,30.614675,3.023,1,1,0,0,0,1,2.0048,40,3932.52,7.8841,10,38,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2364,较低,外圈
wuhan_01_03,wuhan,武汉,1,3,0.4988,114.29425,30.614675,2.66,0,0,0,0,0,0,0.0,64,3607.93,7.2333,12,28,1,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2056,较低,内圈
wuhan_01_04,wuhan,武汉,1,4,0.4988,114.30175,30.614675,2.459,0,0,0,0,0,0,0.0,116,6961.63,13.957,20,28,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3081,较高,内圈
wuhan_01_05,wuhan,武汉,1,5,0.4988,114.30925,30.614675,2.459,0,0,0,0,0,0,0.0,172,7333.18,14.7019,29,29,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3186,较高,内圈
wuhan_01_06,wuhan,武汉,1,6,0.4988,114.31675,30.614675,2.66,0,0,0,0,0,0,0.0,14,417.71,0.8374,2,21,14,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1149,低,内圈
wuhan_01_07,wuhan,武汉,1,7,0.4988,114.32425,30.614675,3.023,0,0,0,0,0,0,0.0,0,0.0,0.0,0,16,0,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.0913,低,外圈
wuhan_01_08,wuhan,武汉,1,8,0.4988,114.33175,30.614675,3.497,0,0,0,0,0,0,0.0,0,0.0,0.0,0,16,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.0779,低,外圈
wuhan_02_01,wuhan,武汉,2,1,0.4988,114.27925,30.608425,3.055,1,1,0,0,0,1,2.0047,118,6163.12,12.3553,20,38,12,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2989,较高,外圈
wuhan_02_02,wuhan,武汉,2,2,0.4988,114.28675,30.608425,2.498,0,0,0,0,0,0,0.0,62,3234.98,6.4852,7,33,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2007,较低,内圈
wuhan_02_03,wuhan,武汉,2,3,0.4988,114.29425,30.608425,2.044,1,0,0,1,0,1,2.0047,94,2581.89,5.176,5,31,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2332,较低,内圈
