cell_id,city_id,city_name_zh,row,column,area_km2,center_lon,center_lat,distance_to_center_km,facility_count,transit_count,healthcare_count,education_count,park_count,service_diversity,facility_density_km2,road_segment_count,road_length_m,road_density_km_km2,intersection_count,elevation_m,terrain_relief_m,source_note,accessibility_proxy,osm_intensity_class,core_zone
xian_01_01,xian,西安,1,1,0.4784,108.91355,34.363475,3.424,0,0,0,0,0,0,0.0,62,3737.24,7.8115,1,370,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2768,低,外圈
xian_01_02,xian,西安,1,2,0.4784,108.92105,34.363475,2.98,1,1,0,0,0,1,2.0902,15,2126.04,4.4438,2,375,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2354,低,内圈
xian_01_03,xian,西安,1,3,0.4784,108.92855,34.363475,2.643,2,2,0,0,0,1,4.1804,21,2035.43,4.2544,0,373,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2724,低,内圈
xian_01_04,xian,西安,1,4,0.4784,108.93605,34.363475,2.457,0,0,0,0,0,0,0.0,39,3091.31,6.4614,4,374,2,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2731,低,内圈
xian_01_05,xian,西安,1,5,0.4784,108.94355,34.363475,2.457,4,4,0,0,0,1,8.3607,39,1929.1,4.0322,1,373,2,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.335,较低,内圈
xian_01_06,xian,西安,1,6,0.4784,108.95105,34.363475,2.643,0,0,0,0,0,0,0.0,33,1639.47,3.4268,1,372,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.19,低,内圈
xian_01_07,xian,西安,1,7,0.4784,108.95855,34.363475,2.98,0,0,0,0,0,0,0.0,18,1759.72,3.6781,2,376,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1853,低,内圈
xian_01_08,xian,西安,1,8,0.4784,108.96605,34.363475,3.424,0,0,0,0,0,0,0.0,4,706.51,1.4767,0,375,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1171,低,外圈
xian_02_01,xian,西安,2,1,0.4785,108.91355,34.357225,2.971,0,0,0,0,0,0,0.0,52,4251.71,8.8862,10,375,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3169,较低,内圈
xian_02_02,xian,西安,2,2,0.4785,108.92105,34.357225,2.446,1,1,0,0,0,1,2.09,43,3540.67,7.4001,8,375,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.328,较低,内圈
xian_02_03,xian,西安,2,3,0.4785,108.92855,34.357225,2.021,1,1,0,0,0,1,2.09,42,3439.2,7.188,10,374,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3395,较低,内圈
xian_02_04,xian,西安,2,4,0.4785,108.93605,34.357225,1.771,0,0,0,0,0,0,0.0,53,4741.5,9.9099,12,374,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3884,较高,内圈
xian_02_05,xian,西安,2,5,0.4785,108.94355,34.357225,1.771,2,2,0,0,0,1,4.1801,79,5200.45,10.8691,13,372,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4741,高,内圈
xian_02_06,xian,西安,2,6,0.4785,108.95105,34.357225,2.021,0,0,0,0,0,0,0.0,84,6183.97,12.9247,24,380,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4533,较高,内圈
xian_02_07,xian,西安,2,7,0.4785,108.95855,34.357225,2.446,0,0,0,0,0,0,0.0,45,4552.96,9.5158,14,378,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3506,较低,内圈
xian_02_08,xian,西安,2,8,0.4785,108.96605,34.357225,2.971,0,0,0,0,0,0,0.0,20,2668.08,5.5764,7,374,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2335,低,内圈
xian_03_01,xian,西安,3,1,0.4785,108.91355,34.350975,2.626,0,0,0,0,0,0,0.0,60,5086.31,10.6297,12,375,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3722,较低,内圈
xian_03_02,xian,西安,3,2,0.4785,108.92105,34.350975,2.012,3,3,0,0,0,1,6.2696,69,5060.67,10.5762,16,378,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4868,高,内圈
xian_03_03,xian,西安,3,3,0.4785,108.92855,34.350975,1.467,5,5,0,0,0,1,10.4494,53,4755.8,9.939,12,378,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5578,高,核心
xian_03_04,xian,西安,3,4,0.4785,108.93605,34.350975,1.098,0,0,0,0,0,0,0.0,78,5961.19,12.4581,20,377,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4875,高,核心
xian_03_05,xian,西安,3,5,0.4785,108.94355,34.350975,1.098,3,3,0,0,0,1,6.2696,91,4458.05,9.3168,19,379,17,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5006,高,核心
xian_03_06,xian,西安,3,6,0.4785,108.95105,34.350975,1.467,0,0,0,0,0,0,0.0,38,3617.81,7.5608,7,374,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.344,较低,核心
xian_03_07,xian,西安,3,7,0.4785,108.95855,34.350975,2.012,0,0,0,0,0,0,0.0,47,5129.24,10.7195,22,385,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3981,较高,内圈
xian_03_08,xian,西安,3,8,0.4785,108.96605,34.350975,2.626,0,0,0,0,0,0,0.0,14,2706.59,5.6564,5,378,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2468,低,内圈
xian_04_01,xian,西安,4,1,0.4785,108.91355,34.344725,2.435,0,0,0,0,0,0,0.0,83,5418.42,11.323,22,378,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3965,较高,内圈
xian_04_02,xian,西安,4,2,0.4785,108.92105,34.344725,1.756,0,0,0,0,0,0,0.0,67,4113.67,8.5964,11,378,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.356,较低,内圈
xian_04_03,xian,西安,4,3,0.4785,108.92855,34.344725,1.09,4,3,0,0,0,2,8.3589,59,4811.6,10.0549,10,378,9,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5504,高,核心
xian_04_04,xian,西安,4,4,0.4785,108.93605,34.344725,0.489,4,4,0,0,0,1,8.3589,40,2866.39,5.9899,11,378,16,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4865,高,核心
xian_04_05,xian,西安,4,5,0.4785,108.94355,34.344725,0.489,13,13,0,0,0,1,27.1663,61,3387.78,7.0795,12,382,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.7909,高,核心
xian_04_06,xian,西安,4,6,0.4785,108.95105,34.344725,1.09,0,0,0,0,0,0,0.0,41,4854.87,10.1453,11,382,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4296,较高,核心
xian_04_07,xian,西安,4,7,0.4785,108.95855,34.344725,1.756,4,4,0,0,0,1,8.3589,57,5117.38,10.6939,21,379,13,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5319,高,内圈
xian_04_08,xian,西安,4,8,0.4785,108.96605,34.344725,2.435,0,0,0,0,0,0,0.0,86,5472.38,11.4357,15,382,10,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3994,较高,内圈
xian_05_01,xian,西安,5,1,0.4786,108.91355,34.338475,2.435,0,0,0,0,0,0,0.0,67,4551.64,9.5109,12,378,2,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3508,较低,内圈
xian_05_02,xian,西安,5,2,0.4786,108.92105,34.338475,1.756,0,0,0,0,0,0,0.0,17,1465.76,3.0628,2,376,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2165,低,内圈
xian_05_03,xian,西安,5,3,0.4786,108.92855,34.338475,1.09,0,0,0,0,0,0,0.0,27,2274.61,4.7529,3,378,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2937,低,核心
xian_05_04,xian,西安,5,4,0.4786,108.93605,34.338475,0.489,0,0,0,0,0,0,0.0,37,3905.21,8.1602,7,386,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4182,较高,核心
xian_05_05,xian,西安,5,5,0.4786,108.94355,34.338475,0.489,8,8,0,0,0,1,16.7165,41,2677.14,5.594,6,384,2,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5996,高,核心
xian_05_06,xian,西安,5,6,0.4786,108.95105,34.338475,1.09,0,0,0,0,0,0,0.0,63,4256.85,8.8949,8,388,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3981,较高,核心
xian_05_07,xian,西安,5,7,0.4786,108.95855,34.338475,1.756,0,0,0,0,0,0,0.0,38,4474.99,9.3508,12,390,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.375,较低,内圈
xian_05_08,xian,西安,5,8,0.4786,108.96605,34.338475,2.435,4,4,0,0,0,1,8.3582,55,3930.77,8.2136,10,391,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4412,较高,内圈
xian_06_01,xian,西安,6,1,0.4786,108.91355,34.332225,2.626,0,0,0,0,0,0,0.0,25,2909.55,6.0792,1,378,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2575,低,内圈
xian_06_02,xian,西安,6,2,0.4786,108.92105,34.332225,2.013,0,0,0,0,0,0,0.0,19,2731.47,5.7071,1,383,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2717,低,内圈
xian_06_03,xian,西安,6,3,0.4786,108.92855,34.332225,1.468,0,0,0,0,0,0,0.0,46,4411.03,9.2164,10,383,11,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3856,较高,核心
xian_06_04,xian,西安,6,4,0.4786,108.93605,34.332225,1.098,0,0,0,0,0,0,0.0,72,4927.03,10.2946,16,390,13,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4329,较高,核心
xian_06_05,xian,西安,6,5,0.4786,108.94355,34.332225,1.098,4,4,0,0,0,1,8.3576,52,5812.03,12.1437,13,387,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.6026,高,核心
xian_06_06,xian,西安,6,6,0.4786,108.95105,34.332225,1.468,0,0,0,0,0,0,0.0,71,5058.01,10.5682,15,387,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4197,较高,核心
xian_06_07,xian,西安,6,7,0.4786,108.95855,34.332225,2.013,0,0,0,0,0,0,0.0,62,5524.0,11.5419,18,391,2,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4188,较高,内圈
xian_06_08,xian,西安,6,8,0.4786,108.96605,34.332225,2.626,0,0,0,0,0,0,0.0,22,3951.8,8.2569,9,389,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3124,较低,内圈
xian_07_01,xian,西安,7,1,0.4786,108.91355,34.325975,2.971,0,0,0,0,0,0,0.0,72,4567.3,9.5422,30,381,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3335,较低,内圈
xian_07_02,xian,西安,7,2,0.4786,108.92105,34.325975,2.446,0,0,0,0,0,0,0.0,28,2734.3,5.7126,3,384,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2547,低,内圈
xian_07_03,xian,西安,7,3,0.4786,108.92855,34.325975,2.021,0,0,0,0,0,0,0.0,46,4485.62,9.3716,9,388,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3638,较低,内圈
xian_07_04,xian,西安,7,4,0.4786,108.93605,34.325975,1.771,0,0,0,0,0,0,0.0,45,3895.16,8.138,11,389,4,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3437,较低,内圈
xian_07_05,xian,西安,7,5,0.4786,108.94355,34.325975,1.771,1,0,0,1,0,1,2.0892,62,4534.7,9.4741,14,385,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4082,较高,内圈
xian_07_06,xian,西安,7,6,0.4786,108.95105,34.325975,2.021,0,0,0,0,0,0,0.0,74,5239.78,10.9472,19,392,5,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4035,较高,内圈
xian_07_07,xian,西安,7,7,0.4786,108.95855,34.325975,2.446,0,0,0,0,0,0,0.0,75,5596.84,11.6932,19,389,3,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4055,较高,内圈
xian_07_08,xian,西安,7,8,0.4786,108.96605,34.325975,2.971,4,4,0,0,0,1,8.357,47,5263.11,10.9959,15,392,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4932,高,内圈
xian_08_01,xian,西安,8,1,0.4787,108.91355,34.319725,3.424,0,0,0,0,0,0,0.0,19,1650.73,3.4485,8,389,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.1668,低,外圈
xian_08_02,xian,西安,8,2,0.4787,108.92105,34.319725,2.98,0,0,0,0,0,0,0.0,29,2407.71,5.0299,2,392,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.2194,低,内圈
xian_08_03,xian,西安,8,3,0.4787,108.92855,34.319725,2.643,5,5,0,0,0,1,10.4455,68,4446.04,9.2882,11,389,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4916,高,内圈
xian_08_04,xian,西安,8,4,0.4787,108.93605,34.319725,2.457,0,0,0,0,0,0,0.0,46,4009.53,8.3763,11,395,6,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3214,较低,内圈
xian_08_05,xian,西安,8,5,0.4787,108.94355,34.319725,2.457,7,7,0,0,0,1,14.6237,69,3298.93,6.8918,5,393,2,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.4993,高,内圈
xian_08_06,xian,西安,8,6,0.4787,108.95105,34.319725,2.643,1,1,0,0,0,1,2.0891,40,3255.58,6.8012,8,393,7,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.3058,较低,内圈
xian_08_07,xian,西安,8,7,0.4787,108.95855,34.319725,2.98,4,4,0,0,0,1,8.3564,125,6644.48,13.8809,23,391,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5656,高,内圈
xian_08_08,xian,西安,8,8,0.4787,108.96605,34.319725,3.424,7,7,0,0,0,1,14.6237,65,5487.8,11.4645,15,395,8,OSM道路与设施聚合；SRTM高程采样；均为教学裁剪,0.5842,高,外圈
