uc_id,city_name_en,city_name_zh,country,urban_area_km2_2025,population_2025,population_density_km2_2025,gdp_average_ppp_1990,gdp_average_ppp_2000,gdp_average_ppp_2010,gdp_average_ppp_2020,gdp_total_ppp_1990,gdp_total_ppp_2000,gdp_total_ppp_2010,gdp_total_ppp_2020,hdi_1990,hdi_2000,hdi_2010,hdi_2020,label_lon,label_lat
10933,Guangzhou,广州（珠三角连续城市形态区）,China,6454,42987704,6660.63,3062700,26651380,79640070,131994300,24317833216,215000000000,644000000000,1070000000000,0.539,0.626,0.727,0.794,113.63604128760849,22.9132869059674
11345,Shanghai,上海,China,3128,30678616,9807.74,11527180,46541300,111760200,232499400,48598577152,197000000000,473000000000,984000000000,0.617225,0.7268308,0.8064516,0.8719335,121.4272834431325,31.20023249503205
8745,Beijing,北京,China,2179,18150575,8329.77,9655084,35192620,103686100,197046500,31649366016,116000000000,342000000000,649000000000,0.614,0.731,0.829,0.903,116.40349260053401,39.95194133823555
11199,Suzhou,苏州,China,1802,11540429,6404.23,5291061,14680510,52818640,138891000,12719710208,35673636864,129000000000,341000000000,0.513,0.614,0.729,0.805,120.5977076461005,31.3934542842631
8557,Chongqing,重庆,China,653,8449690,12939.8,3436333,17829930,47925510,151600500,2934628352,15387230208,41695191040,132000000000,0.464,0.564,0.68,0.77,106.508631965162,29.574541204652448
10131,Wuhan,武汉,China,772,8079484,10465.65,8494137,34343480,95998750,198295700,8570584064,34789941248,97726726144,202000000000,0.469,0.566,0.688,0.771,114.2870689327545,30.54005969986105
10887,Nanjing,南京,China,1012,8061028,7965.44,5700444,19852160,65272020,175976900,7866611712,27395981312,90140655616,244000000000,0.513,0.614,0.729,0.805,118.79702784042101,32.0772375126072
9127,Tianjin,天津,China,671,7330647,10924.96,9226577,31837050,90329330,162691100,9245030400,32346439680,92226240512,166000000000,0.559,0.673,0.776,0.84,117.1782273130755,39.10847799760855
11311,Hangzhou,杭州,China,1517,6387063,4210.32,3534477,15806630,50384950,68032380,7167919104,32182304768,103000000000,139000000000,0.516,0.622,0.725,0.796,120.291417424981,30.21932636488065
6378,Chengdu,成都,China,867,5609626,6470.16,8180355,21674680,71525830,99238950,9562834944,25381048320,83756752896,116000000000,0.44,0.542,0.651,0.736,104.049161678791,30.68139730241575
8006,Xi'an,西安,China,691,5298991,7668.58,6415062,18663780,75350100,128818400,6184119296,18066540544,72938897408,125000000000,0.453,0.548,0.684,0.763,108.89155880986499,34.266509347320095
