grid_id,area_name,population,elderly_share,tree_cover,heat_c,transit_access,health_access,data_coverage,vulnerability,priority_score
NJ0101,Teaching area 1-1,3384,0.2443,0.2825,34.7316,0.3526,0.2422,0.8674,0.4257,-0.1269
NJ0102,Teaching area 1-2,3253,0.2319,0.2168,35.1937,0.326,0.1688,0.8513,0.4309,0.2994
NJ0103,Teaching area 1-3,3169,0.2366,0.3215,35.3042,0.2315,0.227,0.7788,0.476,0.921
NJ0104,Teaching area 1-4,4531,0.215,0.2963,35.4481,0.3068,0.3175,0.7702,0.4302,0.4924
NJ0105,Teaching area 1-5,3987,0.1977,0.2302,35.8967,0.3839,0.3304,0.7117,0.3859,0.3229
NJ0106,Teaching area 1-6,3990,0.1748,0.2751,35.772,0.3966,0.4822,0.7514,0.3677,0.0078
NJ0107,Teaching area 1-7,4468,0.2043,0.2427,35.6513,0.3978,0.35,0.7032,0.3834,0.0983
NJ0108,Teaching area 1-8,4483,0.205,0.2089,35.8901,0.4342,0.284,0.6018,0.3674,0.0978
NJ0109,Teaching area 1-9,5058,0.1959,0.2566,36.181,0.4996,0.457,0.6284,0.333,-0.08
NJ0110,Teaching area 1-10,4039,0.1832,0.3017,36.546,0.4869,0.3634,0.5183,0.3317,0.193
NJ0111,Teaching area 1-11,4729,0.1985,0.3414,35.312,0.4422,0.2566,0.5527,0.3601,-0.4449
NJ0112,Teaching area 1-12,4512,0.2127,0.2287,36.9565,0.4988,0.3636,0.5335,0.3425,0.6462
NJ0201,Teaching area 2-1,2819,0.2588,0.2891,35.9229,0.2931,0.1818,0.8934,0.4604,1.2262
NJ0202,Teaching area 2-2,3128,0.2176,0.3112,35.4347,0.28,0.2368,0.8792,0.4437,0.6422
NJ0203,Teaching area 2-3,3460,0.2412,0.3223,35.0281,0.3553,0.3706,0.8097,0.4228,0.0725
NJ0204,Teaching area 2-4,5440,0.1829,0.2952,35.8206,0.4471,0.4016,0.8611,0.3494,-0.1702
NJ0205,Teaching area 2-5,5330,0.1629,0.262,36.2433,0.4154,0.2731,0.7591,0.3526,0.2024
NJ0206,Teaching area 2-6,6534,0.1873,0.256,36.7109,0.6242,0.4458,0.7425,0.2721,-0.3818
NJ0207,Teaching area 2-7,6154,0.1858,0.3248,36.6435,0.59,0.4578,0.682,0.2867,-0.2627
NJ0208,Teaching area 2-8,5927,0.1628,0.2009,36.9568,0.601,0.4015,0.5987,0.2691,-0.2235
NJ0209,Teaching area 2-9,5928,0.1903,0.2338,36.7383,0.5272,0.3733,0.5925,0.3174,0.1766
NJ0210,Teaching area 2-10,5397,0.2033,0.2518,37.4284,0.4962,0.4151,0.5659,0.3385,0.9716
NJ0211,Teaching area 2-11,4619,0.2022,0.1958,37.2853,0.5851,0.5004,0.5198,0.2979,0.3776
NJ0212,Teaching area 2-12,5268,0.2202,0.2658,36.2616,0.4989,0.3276,0.5007,0.3466,0.1453
NJ0301,Teaching area 3-1,2142,0.2183,0.2899,34.844,0.278,0.225,0.8892,0.445,0.1906
NJ0302,Teaching area 3-2,4079,0.2474,0.2331,35.7783,0.3463,0.3683,0.8995,0.4302,0.7541
